text	object	context	role	section	flag
To implement the Atkinson condition, item parameters were estimated using data from a previous experiment, in a manner similar to that in @@CITATION.	@@CITATION		A-subj	discussions	0
This geometry is identical to the geometry used in @@CITATION and is chosen because it leads to geometry-independent results as shown in [28].	geometry 		A-subj	method	0
The source of this instability is similar to that of the instability occurring in the Pk−Pk−2 spectral element solution scheme for the Navier-Stokes equations reported in @@CITATION.	Navier-Stokes  equations 		A-subj	keywords	0
Furthermore, our algebraic splitting approach is superior to the Chorin-Temam projection scheme (differential splittings) @@CITATION in the sense that our scheme avoids unphysical boundary conditions for the pressure equation inherent in the differential splittings.	Chorin-Temam  projection  scheme 		A-subj	method	1
Finally, the MAC protocols proposed in @@CITATION are similar to DCA-PC.	MAC  protocols 		B-subj	conclusions	0
3.1 Security Policy Our security model is similar to many traditional approaches @@CITATION.	approaches 		A-subj	abstract	0
On Myrinet, this is an increase by 30 MB/s compared to results published in @@CITATION.	results 		A-subj	unknown	1
This pragmatic orientation in younger subjects is in line with previous findings @@CITATION.	findings 		A-subj	conclusions	0
learning strategy that we employ in the methods presented in this paper is in many respects similar to structure learning methods from statistical relational learning such as @@CITATION.	structure  learning  methods 		A-subj	method	0
We compare the performance of the proposed LRNN structure learning method with the best previously published LRNNs, which contain large generic, yet manually constructed weighted rule sets @@CITATION.	LRNNs	which  contain  large  generic,  yet  manually  constructed  weighted  rule  sets 	A-subj	method	0
The learned LRNNs are also competitive with the manually constructed LRNNs from @@CITATION, although they do not outperform them.	LRNNs 		A-subj	evaluation	0
TARGET SYSTEM: AMD MAGNY-COURS We evaluate the benefits that our proposal could achieve in a system similar to AMD Magny-Cours @@CITATION.	AMD  Magny-Cours 		A-subj	method	0
Chen et al. @@CITATION studied and compared the cache behavior between work-stealing and parallel depth-first scheduler on simulators for cores that share the L2 cache.	cache  behavior 		B-subj	method	0
The proof techniques are similar to those used in @@CITATION, but are modified to handle the more general model here.	@@CITATION	to  handle  the  more  general  model 	A-subj	method	0
We note that the methods applied in the present paper are different from @@CITATION.	@@CITATION		A-subj	method	1
In some sense, our technique is similar to the feedback mechanism based on document surrogates that was proposed by Billerbeck and Zobel @@CITATION.	feedback  mechanism 		A-subj	unknown	0
Finally, we compared our KLD-based term selection function to the formula proposed by Billerbeck and Zobel @@CITATION.	formula 		A-subj	unknown	0
DOCUMENT-CENTRIC STATIC INDEX PRUNING The general goal of our pruning technique is the same as that in @@CITATION: Reducing the size of the index so far that it completely fits into main memory.	@@CITATION	Reducing  the  size  of  the  index  so  far  that  it  completely  fits  into  main  memory	A-subj	unknown	0
Our method is similar to the pseudo-relevance feedback mechanism described by Carpineto et al. @@CITATION.	pseudo-relevance  feedback  mechanism 		A-subj	unknown	0
A similar qualitative analysis applied to the slightly later stage, of system architectural design, is described by Bass, Clements, and Kazman @@CITATION.	qualitative  analysis 		B-subj	method	0
A similar approach was followed for fragments of intuitionistic logic in @@CITATION, although this leads to further technicalities when approximating (co-)nondeterministic complexity of a sequent.	approach 		B-subj	method	0
Instead we follow a similar approach to Statman’s proof that intuitionistic propositional logic is PSPACE-hard @@CITATION, modulo some improvements that are discussed, for the intuitionistic setting, in [7].	Statman’s  proof 		A-subj	method	0
The design is a 1T2R design, similar to that described in @@CITATION.	@@CITATION		A-subj	method	0
We modeled the fractured operation as two smaller sized LUTs along with an output mux, similar to the design described in @@CITATION.	design 		A-subj	method	0
In order to reduce the overhead of the crossbar configuration memory, we replace the SRAM configuration memory cells with 1T2R PCM cells, similar to what is done in related works for global routing @@CITATION.	@@CITATION		A-subj	method	0
This approach is similar to what is done in multi-agent architectures @@CITATION.	@@CITATION		A-subj	method	0
The basic approach for the body classifiers is similar to that used in statistical approaches to reference resolution (e.g. @@CITATION).	@@CITATION		B-subj	method	0
We use an approach similar to the original MAPO paper @@CITATION to approximately resolve fully qualified method names.	MAPO 	to  approximately  resolve  fully  qualified  method  names	A-subj	method	0
Thus applying the LM-algorithm directly in degree 7 was more challenging and we were forced to exploit a parallelism, following a process similar to that in @@CITATION.	@@CITATION		A-subj	method	0
4.2 Comparison with Automatic Methods We compare our method to the baseline method of @@CITATION and the recent generative model of [41], which also built a GMM model of the reflectance.	baseline  		A-subj	evaluation	0
We also compare to the method of @@CITATION that utilizes automatic color naming for intrinsic image decomposition.	method 	that  utilizes  automatic  color  naming  for  intrinsic  image  decomposition	A-subj	evaluation	0
4.2 Comparison with Automatic Methods We compare our method to the baseline method of [17] and the recent generative model of @@CITATION, which also built a GMM model of the reflectance.	recent  generative  model 		A-subj	evaluation	0
Note that the formulation of Σk in Equation (16) is slightly different from those in the general EM algorithm for fitting GMM @@CITATION, with an extra term wg in the denominator that reduces the variance.	EM  algorithm for  fitting  GMM 		A-subj	method	1
Alternative approaches, based more directly on Herbrand’s theorem, e.g., as described in (@@CITATION), are also known.	approaches	based  more  directly  on  Herbrand’s  theorem	A-subj	method	0
AlPiNA’s data types provide more features than this example shows, like sub-sorting, polymorphism or data type modularity similar to that of @@CITATION.	features 	like  sub-sorting,  polymorphism  or  data  type  modularity 	A-subj	method	0
Another adaptation of saturation to SDD has been defined by Couvreur & Thierry-Mieg @@CITATION and later improved by Hamez et al. [28].	Another  adaptation  of  saturation  to  SDD  has  been  defined  by  Couvreur  &  Thierry-Mieg  @@CITATION  and  later  improved  by  Hamez  et  al.  [28].		A-subj	method	0
4.1 Detecting Rain and Snow Using Frequency Space Analysis The frequency model can be used to detect rain and snow in a similar way to notch filtering (@@CITATION).	notch  filtering 	 to  detect  rain  and  snow  	A-subj	method	0
Since there is a close relationship of our approach to the GTM we also applied the sparse grid method to the oil flow data set which is used in @@CITATION as a benchmark problem for the GTM.	sparse  grid  method to  the  oil  flow  data 	set 	A-subj	abstract	0
These findings are comparable to those obtained with the GTM approach @@CITATION and the kernel based method from [59].	GTM  approach 		A-subj	abstract	0
The same method has also been used by @@CITATION in conjunction with syntactic annotations to extract rules that are used for reordering prior to translation .	method 	to  extract  rules  that  are  used  for  reordering  prior  to  translation 	A-subj	keywords	0
The discontinuous phrases used by @@CITATION have a similar purpose to synchronous grammar rules; but they have variables that stand for single words rather than subderivations, and they can interleave in non-hierarchical ways.	discontinuous  phrases 	to  synchronous  grammar  rules	A-subj	keywords	0
The system under investigation is a single cell OFDMA one, similar to WiMax systems @@CITATION.	WiMax  systems 		A-subj	method	0
We observe a significant difference between the results obtained from our approach and the approach in @@CITATION.	results 		A-subj	abstract	1
We vary the value of Re from 0.01 to 0.99, which is the same range explored in @@CITATION, so that we can compare the results easily.	range 		A-subj	abstract	0
An automatic HMM segmenter was trained over this material, with units corresponding to &quot;demiphonemes&quot; (unlike the otherwise identical autosegmenter used in @@CITATION, which used phoneme units only).	 identical  autosegmente	which  used  phoneme  units  only	A-subj	unknown	1
This approach is similar to the email study conducted by Adamic and Adar @@CITATION.	email  study 		A-subj	evaluation	0
The results seem to agree with Hanneman’s @@CITATION view, in suggesting out-degree as an influential centrality measure when determining a central figure in an information flow.	results 		A-subj	unknown	0
Moreover, 82.3% is very near to the best figure obtained on the Magnatune corpus, i.e. the 84.1% derived in (@@CITATION).	best  figure 		A-subj	method	0
The corpus used in our experimentation was also used in (@@CITATION), with a set of spectral features, e.g. MFCC, and a set of advanced features, called fluctuation patterns.	corpus 		A-subj	introduction	0
Therefore we would compare DISC with the R*-tree @@CITATION indexing under our general scheme to see which one is more efficient.	R*-tree 		A-subj	evaluation	0
These observations are consistent with previous results @@CITATION.	results 		A-subj	unknown	0
Our results suggest a higher ratio of &quot;de novo&quot; pseudopods relative to those from splitting during chemotaxis in shallow gradients, compared to previous published results (Additional file 2, @@CITATION).	results 		A-subj	unknown	1
Compared to the state-of-the-art @@CITATION, which uses time series of the previous price for predicting future price of bitcoin, 0.9504 is significantly higher.	state-of-the-art 		A-subj	unknown	1
The hybrid dimension-based Star-Cubing approach, proposed in [@@CITATION], outperforms the other approaches in dense, skewed and not so sparse relations.	approaches 		B-subj	method	1
1 INTRODUCTION We already proposed a similar learning system for object recognition and object reconstruction, which was based on the reinforcement learning (Sutton and Barto, 1998) component only (@@CITATION).	 learning  system 		A-subj	introduction	0
However, the Poissonian limit is reached as λ/ω0 → ∞ at the resonance point, which is also demonstrated in @@CITATION.	 Poissonian  limit 		A-subj	introduction	0
Our procedure is similar to that described in @@CITATION, and consists of two stages.	procedure 		A-subj	method	0
A notable exception is work by Madar, et al. describing an enhancement of the original Inferelator algorithm that is capable of dynamic simulations similar to our approach @@CITATION.	dynamic  simulations 		A-subj	keywords	0
These results are consistent with previous findings by Dame and Kenny [54], Gross et al. [55], and Wieski and Pennings @@CITATION.	findings 		A-subj	method	0
These results are consistent with previous findings by Dame and Kenny @@CITATION, Gross et al. [55], and Wieski and Pennings [20].	findings 		A-subj	method	0
These results are consistent with previous findings by Dame and Kenny [54], Gross et al. @@CITATION, and Wieski and Pennings [20].	findings 		A-subj	method	0
Similarly, the REMUS @@CITATION project provides a high degree of fault tolerance using asynchronous VM replication.	REMUS 		A-subj	method	0
Despite differences in mapping procedures, there are resemblances with previous reports in which 46% of the terms in the ICF could be mapped to the ICNP with an exact or partial match @@CITATION.	reports 		A-subj	unknown	0
The sample median direction for a set of angular observations is different from the “classical” median @@CITATION of these points.	“classical”  median 		A-subj	method	1
In this paper, we have used a quantitative criterion similar to the edge detection error rate described in @@CITATION in order to evaluate and compare the performance of the proposed edge detectors for various noise types.	edge  detection  error  rate 	in  order  to  evaluate  and  compare  the  performance 	A-subj	method	0
Consist with the previous studies @@CITATION, text-feature based classifier outperformed the image-feature based classifier 6% (absolute) in accuracy, as shown in Table 3.	studies 		A-subj	unknown	0
Our results coincide with the nanomedicine report by the @@CITATION, p.	report 		A-subj	abstract	0
Experimental setup The experiments we report in this article were performed with a similar GA and identical parameter values to those used by Tanese (1989a) (and also in previous work by @@CITATION).	parameter 		A-subj	method	0
.@@CITATION used a similar nonlinear wave model estimator in a Generic Model control strategy.	nonlinear  wave  model 		A-subj	method	0
This technique is more closely related to the BOUNDER system developed at MIT @@CITATION than to the traditional SUP-INF method.	BOUNDER  system 		A-subj	unknown	0
In @@CITATION, an n2 × n2 eigenvalue problem similar in structure to (2.1) is dealt with by rewriting an equation of Kronecker sums into an equation of Lyapunov form, i.e., (1.3).	eigenvalue  problem 		A-subj	method	0
A similar problem is studied in @@CITATION.	problem 		A-subj	method	0
On the small data sets, @@CITATION used the exact same protocol, so, although the folds are not the same, the results are directly comparable.	protocol		A-subj	method	0
Using stumps over Haar filters (Viola & Jones, 2004), boosted trees with four inner nodes and 10000 iterations achieves a test error of 0.85%, comparable to classical convolutional nets (@@CITATION).	convolutional  nets 		A-subj	conclusions	0
The isolated signals near the Hayward Fault are visible, which possibly corresponds to those identified by @@CITATION in a study of local hillslope motions that spanned 2 years and 17 images.	 isolated  signals 	near  the  Hayward  Fault 	A-subj	method	0
For the h-convergence the index of algebraic convergence is about 2(p+1), which is consistent with the estimate given in @@CITATION.	index  of  algebraic  convergence 		A-subj	method	0
A similar technique was used in @@CITATION to account for thermal drift in STM.	technique 		A-subj	method	0
Tuncer et al. @@CITATION used similar monitoring data to detect node-level anomalies.	monitoring  data  to  detect  node-level  anomalies		B-subj	related work	0
In order to point out the most appropriate parameters for the fingertip, a parametric study, analogous to @@CITATION, is carried out.	parametric  study	In  order  to  point  out  the  most  appropriate  parameters  for  the  fingertip	B-subj	method	0
An interesting approach that shares some similarities with DRF techniques is @@CITATION.	DRF  techniques 		B-subj	conclusions	0
This Picat program is very similar to our constraint programming solution in ECLiPSe CLP @@CITATION.	ECLiPSe  CLP 		B-subj	method	0
In comparison to EPOVC @@CITATION which has a similar structure as ObMiC our method produces a higher average accuracy.	EPOVC 		B-subj	evaluation	0
(12) In contrast to @@CITATION, training data for estimating the parameters µ and ς of the probability density functions are in our case not available.	training  data 		B-subj	method	0
Similar criteria were used in @@CITATION, but apply only to specific representations of the prior model.	criteria 		B-subj	method	0
Similar to genetic algorithms @@CITATION, our algorithm computes the most plausible explanation of image content given a prior model in terms of segmentation with maximum quality.	 genetic  algorithms 		B-subj	method	0
In contrast to @@CITATION, where a highly application– specific segmentation plan is carried out by a single “self–aware” deformable agent, our algorithm initialises and optimises multiple model instances in parallel.	algorithm 		B-subj	abstract	1
The AWGN channel is similar to the LOS multipath channel for 60GHz as discussed in @@CITATION.	LOS  multipath  channel 		B-subj	method	0
We also compare with the non-adaptive approach @@CITATION which considers the overall workload as a stationary Markov chain with constant an .	non-adaptive  approach 	 which  considers  the  overall  workload  as  a  stationary  Markov  chain  	B-subj	method	0
This is in contrast to @@CITATION where the latent variables were suggested to be those which minimize a metric distance based on the kernel KI(., .).	latent  variables 	to  be  those  which  minimize  a  metric  distance  based  on  the  kernel  KI(.,  .)	B-subj	method	0
Overall our results are comparable to @@CITATION.	results 		B-subj	conclusions	0
Similarly, in @@CITATION an ensemble is used but incremental clustering is performed to maintain information about historical concepts, the proposed framework captures batches of examples from the stream into conceptual vectors.	ensemble 		B-subj	method	0
This is the same idea used in SI @@CITATION and TSI [14].	SI 		B-subj	method	0
This is the same idea used in SI [13] and TSI @@CITATION.	TSI 		B-subj	method	0
In a GP setting , similar ideas are used in @@CITATION for transductive GP regression and multi-category classification , respectively .	ideas 	for  transductive  GP  regression  and  multi-category  classification 	B-subj	abstract	0
A similar pre-shared key based protocol proposed by Almousa and Barbeau @@CITATION shows Bob does not need to store any qubits, but the linear EPT persists.	pre-shared  key  based  protocol 		B-subj	keywords	0
Note that unlike IMBE @@CITATION, the frequency domain binary voicing information is not transmitted.	IMBE 		B-subj	method	1
The algorithms are designed in such a way that they impose no restrictions on the location of the measurement point, similarly to the work presented in @@CITATION, for instance.	work 		B-subj	abstract	0
We discuss in detail the limitations of TRAT and perform a comparison against our methods in @@CITATION.	TRAT 		B-subj	introduction	0
A similar task-based approach is seen in the agile movement ( with e.g . user stories ) and in open source projects @@CITATION .	open  source  projects 		B-subj	method	0
This is different from @@CITATION which suggests that sentiment is associated only with subjective content.	sentiment 		B-subj	method	1
Since, for dense digraphs, the condition of being a robust outexpander is much weaker than that of being quasirandom, Corollary 1.2 is much more general than the result in @@CITATION mentioned earlier.	result 		B-subj	unknown	0
We omit the proof as it is almost the same as Lemma 4.7 in @@CITATION.	Lemma 		B-subj	unknown	0
We can contrast our modelling viewpoint with the OWL language @@CITATION proposed for the Semantic Web [10].	OWL  language 		B-subj	keywords	1
AAMRP is compared with our previous protocol Ant Based Multicast Routing (AMR) [22] and Multicast for Ad hoc Network with Hybrid Swarm Intelligence (MANHSI) @@CITATION.	Multicast  for  Ad  hoc  Network  with  Hybrid  Swarm  Intelligence  (MANHSI) 		B-subj	method	0
Besides the fact , that we have been experimenting with document-level classification , rather than sentence-level classification , there are two other significant differences between our work and the work described in @@CITATION .	work 		B-subj	unknown	0
To the best of our knowledge, @@CITATION is the closest work to ours in terms of latent space description of style; our approach is however based on significantly different tools and our objective is different.	work 	in  terms  of  latent  space  description  of  style	B-subj	introduction	0
These pressure coefficients are slightly lower than the one reported by Mang et al. @@CITATION (23.6, 24.4 and 26.5 meV/GPa for excitons A, B and C, respectively).	pressure  coefficients 		B-subj	unknown	0
Thus our algorithm offers flexibility similar to that achieved in the case of finite differences of an arbitrary order with the Fornberg algorithm @@CITATION.	Fornberg  algorithm 		B-subj	introduction	0
Thus, our algorithm provides one with flexibility similar to that achieved in the case of finite differences of an arbitrary order by, e.g., the Fornberg algorithm @@CITATION.	 Fornberg  algorithm  		B-subj	conclusions	0
Other researchers @@CITATION also reported similar results, although in [74] a very short vertical crack segment was present.	results		B-subj	conclusions	0
By comparison ARToolkitPlus is about an order of magnitude faster @@CITATION.	ARToolkitPlus 		B-subj	method	0
These methods, known as dynamic sampling methods, have been shown to significantly outperform traditional static sampling methods @@CITATION[5][6][7][8].	 static  sampling  methods 		B-subj	abstract	0
These methods, known as dynamic sampling methods, have been shown to significantly outperform traditional static sampling methods [4]@@CITATION[6][7][8].	static  sampling  method		B-subj	abstract	0
These methods, known as dynamic sampling methods, have been shown to significantly outperform traditional static sampling methods [4][5]@@CITATION[7][8].	static  sampling  methods 		B-subj	abstract	0
These methods, known as dynamic sampling methods, have been shown to significantly outperform traditional static sampling methods [4][5][6]@@CITATION[8].	static  sampling  methods 		B-subj	abstract	0
These methods, known as dynamic sampling methods, have been shown to significantly outperform traditional static sampling methods [4][5][6][7]@@CITATION.	static  sampling  methods 		B-subj	abstract	0
This is comparable to recent studies for other convolutional networks @@CITATION.	convolutional  networks 		B-subj	method	0
This approach is similar to @@CITATION, but the two controllers are not combined and operate in a VS/VD switch on different queues and control loops.	approach 		B-subj	method	0
Similar techniques are also common in style transfer @@CITATION.	style  transfer 		B-subj	related work	0
This was already pointed out in @@CITATION.	This 		B-subj	abstract	0
The structure of the algorithm, shown in Fig. 2, is similar to the T-Man framework @@CITATION, however, due to the different neighbourhood models, the two algorithms are not directly comparable.	T-Man  framework 		B-subj	keywords	0
A similar approach , described in @@CITATION , partitions the P2P system into a set of ontological clusters , using a P2P topology based on hypercubes , in order to efficiently support complex RDF-based search queries .	approach 		B-subj	related work	0
A migration ontology similar to the one proposed by FIPA @@CITATION has been used for data structure.	FIPA 		B-subj	method	0
In terms of file formats, the recent ADAM format @@CITATION is most similar to AGD.	ADAM  format 		B-subj	method	0
The technique used in this paper is similar to that in @@CITATION, where we define a different COUNT matrix for solving the two-pattern queries problem with positive patterns only.	technique 		B-subj	unknown	0
The average profit per user (APU) would be a better standard point of comparison @@CITATION, but those figures are not publicly available.	average  profit  per  user  (APU) 		B-subj	introduction	0
This approach is similar to the one proposed for the linear programming case by Goffin and Vial in @@CITATION.	approach 		B-subj	conclusions	0
The main difference between this paper and @@CITATION is that we not only consider the stability of the closed-loop system but also require the closed-loop system maintaining an adequate level of performance represented by a quadratic cost function.	stability  of  the  closed-loop  system 		B-subj	method	1
Our results are in accordance with those reported in (@@CITATION), (Li et al. 2007) where numerical methods based on linear matrix inequalities are used to prove the emergence of synchronous behavior.	results 		B-subj	method	0
Our results are in accordance with those reported in (Li et al. 2006), (@@CITATION) where numerical methods based on linear matrix inequalities are used to prove the emergence of synchronous behavior.	results 		B-subj	method	0
The definition of concern in our model is similar to what has been defined in @@CITATION.	concern 		A-subj	method	0
This is consistent with the theoretical proof by Ziegler [67] as well as a recent numerical study @@CITATION that maximal entropy production rate is not a general feature of the standard equations of chemical kinetics.	numerical  study 		A-subj	method	0
Estimated errors of TEC values associated with the CTIPemodel range between 1 and 12 TEC units , as compared with other estimation methods @@CITATION .	estimation  methods 		A-subj	method	0
The estimates generated are contrasted with those according to @@CITATION, based on published work in [19], and [35], and are shown in Figure 5.	estimates 		A-subj	method	1
This in turn contrasts with the computationally easier thin-shell model , as used in the comparison models of @@CITATION .	models 		A-subj	method	1
However , moving out towards the FoV edge , the presented model estimates of both Faraday rotation and path delay diverge from those of @@CITATION .	model estimates of  both  Faraday  rotation  and  path  delay 		A-subj	method	0
A comparison has been made with existing theoretical modelling, and by consequence measurement @@CITATION, of Faraday rotation over FoVs centred at the magnetic north and south poles, and at the magnetic equator.	 consequence  measurement 		A-subj	method	0
They showed that their method is superior to both Shape-DNA and HKS in comparing shapes from the Shape Google database @@CITATION.	Shape-DNA  and  HKS 		B-subj	related work	0
This type of hybrid approach, called the generalized cyclic coordinate method, con verges substantially faster than the cyclic method and is described in detail in @@CITATION.	cyclic  method 		B-subj	conclusions	0
We compare our results with a mechanism that implements an RD optimal mode selection policy for streaming with UDP [7], and the methodology reported at @@CITATION, that also considers streaming with TCP.	methodology 		B-subj	evaluation	0
We compare our results with a mechanism that implements an RD optimal mode selection policy for streaming with UDP @@CITATION, and the methodology reported at [3], that also considers streaming with TCP.	RD  optimal  mode  selection  policy  for  streaming  with  UDP 		B-subj	evaluation	0
Unlike SITN [31] and FORUM @@CITATION, the Virtual Auditorium does not require a student to explicitly request the audio channel before he can be heard.	FORUM 		B-subj	method	1
A disadvantage of DirectShow is that unlike previous systems with similar characteristics @@CITATION, it requires the Microsoft Windows operating system.	previous  systems 		A-subj	method	1
Our result is similar to the Mod II PicturePhone finding where their maximum allowable camerato-display angle for eye contact was 4.5 degrees horizontally and 5.5 degrees vertically @@CITATION.	Mod  II  PicturePhone 		A-subj	discussions	0
The Lipschitz constant L does not appear in the convergence rate in the above analysis which is different from the standard analysis for optimization algorithms @@CITATION.	standard  analysis  for  optimization  algorithms 		A-subj	method	1
The agents do not share input data ui ( k ) with each other , which is in contrast to @@CITATION .	agents 		A-subj	method	1
For the passive SM product, this evaluation’s results are close to the finding of @@CITATION, but SMAP_P SM results in a larger RMSE and ubRMSE over HRB.	evaluation’s  results 		A-subj	unknown	0
Therefore, Sw has a value of 0.326, which is considerably larger than that for the previously developed robotic fish FOCUS @@CITATION.	robotic  fish  FOCUS 		A-subj	introduction	0
More specifically the performance of H-DMPS was verified by simulation and it showed satisfactory results when compared to a recent dynamic scheduling method, presented in @@CITATION, which uses fine grain parallelism.	dynamic  scheduling  method		A-subj	keywords	0
H-DMPS is the compared to the algorithm described in @@CITATION.	algorithm 		A-subj	introduction	0
This is similar to the strategy suggested by Chan, Ciarlet and Szeto @@CITATION.	strategy 		A-subj	abstract	0
An algorithmic version of the directed version can be proved in essentially the same way (see @@CITATION for a sketch of the argument proving a similar statement).	algorithmic  version  of  the  directed  version 		B-subj	method	0
The proof of (ii) is similar to the proof of its analogue for undirected graphs (see Section 2 in @@CITATION).	proof 		A-subj	method	0
(A weaker version of this lemma was already proved in @@CITATION.)	lemma 		B-subj	method	0
Babcock et al. @@CITATION proposes an accuracy metric similar to our QS.	 accuracy  metric 		B-subj	conclusions	0
This approach is similar to the strategy defined in @@CITATION as gap recovery.	strategy 	 as  gap  recovery	B-subj	introduction	0
Regarding quantum variants of PH, the only previous work we are aware of is that of Yamakami @@CITATION, whose results and definition are largely unrelated to ours (e.g., complete problems are not studied).	results  and  definition 		B-subj	general terms	1
3.3 Comparison to M-Kernels The processing of M-Kernels @@CITATION is similar to that sketched above.	M-Kernels  		B-subj	method	0
We have compared the results of the proposed approach with those of two baseline methods: a vectorization-based system in @@CITATION and fork point detector of K. Liu [4].	vectorization-based  system 		A-subj	introduction	0
We have compared the results of the proposed approach with those of two baseline methods: a vectorization-based system in [3] and fork point detector of K. Liu @@CITATION.	fork  point  detector 		A-subj	introduction	0
The proposed scheme however differs from the cognitive network @@CITATION approach .	cognitive  network  		B-subj	method	0
To address these criteria we use a Force Directed Placement algorithm similar to that suggested by Frick et al @@CITATION.	algorithm 		B-subj	method	0
This paper has goals similar to @@CITATION, namely to develop formal analysis techniques and tools for effective use of scenario-based requirements in software engineering.	goals 		B-subj	introduction	0
We relax some of these assumptions and extend this model by following similar conclusions to both Hofmann @@CITATION and Marlin [13].	conclusions 		B-subj	method	0
We relax some of these assumptions and extend this model by following similar conclusions to both Hofmann [10] and Marlin @@CITATION.	conclusions 		B-subj	method	0
In addition, our designs have better performance densities than others except the results in @@CITATION which exceed 2.	 performance  densities 		B-subj	method	1
For VGG, our latency is longer than @@CITATION due to 45% frequency gap.	latency 		A-subj	method	1
The same limitations are shared with participation action research @@CITATION.	limitations 		B-subj	unknown	0
The most related work to ours is @@CITATION in which Geib and Goldman applied probabilistic reasoning to recognize the attacker’s intentions.	work 		B-subj	related work	0
This challenge also illustrates the fundamental difference between our work and those that study Locationbased Services (LBS) @@CITATION, which utilize the users’ real-time locations to carry out geographic-aware services.	work 		B-subj	introduction	0
We also explain how its output differs from the output of SPLITSTREE @@CITATION.	output 		A-subj	method	1
Lueg’s “Smart Guiding” @@CITATION system for tourists is similar to what we are trying to achieve with the alumni campus guide.	Smart  Guiding		B-subj	related work	0
8.2 HOMOGENOUS SDF GRAPHS Unlike the techniques in [13]@@CITATION, the buffer merging technique is useful even if there are no rate changes in the graph.	techniques 		B-subj	evaluation	1
This definition is the same as in Graphplan @@CITATION generalised to SAS+ variables.	Graphplan 		B-subj	method	0
This approach is also used in GP-CSP @@CITATION and in Planning-asSatisfiability [18].	 GP-CSP 		B-subj	method	0
Our backward strategy, similar to that used in the Meta-CSP SAT planner @@CITATION, uses the sub-optimal planner, LAMA [20], to find an upper-bound, u, on the optimal plan length.	Meta-CSP  SAT  planner 		B-subj	method	0
CPT solves more of these instances than the current state of the art optimal planners @@CITATION, while SeP and Constance cannot solve many of them in 30 minutes.	optimal  planners 		B-subj	evaluation	0
This approach is also used in GP-CSP [6] and in Planning-asSatisfiability @@CITATION.	 Planning-asSatisfiability 		B-subj	method	0
