text	object	context	role	section	flag
4 Experimental Results In this section, we use the Extended Yale B @@CITATION and AR [17] databases to evaluate the proposed method and compare it with some popular methods dealing with SSPP problem.	Extended  Yale  B 	to  evaluate  the  proposed  method  and  compare  it  with  some  popular  methods  dealing  with  SSPP  problem	A-subj	method	0
4 Experimental Results In this section, we use the Extended Yale B [16] and AR @@CITATION databases to evaluate the proposed method and compare it with some popular methods dealing with SSPP problem.	AR 	to  evaluate  the  proposed  method  and  compare  it  with  some  popular  methods  dealing  with  SSPP  problem	A-subj	method	0
The ultrasound back scattering strategy @@CITATION was also exploited for blood typing to monitor the agglutination reaction.	ultrasound  back  scattering  strategy 	to  monitor  the  agglutination  reaction	A-subj	abstract	0
We trained our model using a Random Forest algorithm with default parameters in the Weka @@CITATION platform.	Random  Forest  algorithm 		A-subj	evaluation	0
Next, we estimate approximate bounds for the initial angular momentum, following a technique proposed in @@CITATION.	technique 		B-subj	unknown	0
The analysis, patterned on @@CITATION, makes use of an explicit modeling of the dissipative nature of the interaction forces applied to the system by the external world.	explicit  modeling 		B-subj	method	0
This inversion can be achieved using a Jacobian algorithm @@CITATION.	Jacobian  algorithm 		A-subj	method	0
In this paper we consider uniform priors and unigram Language Models with Dirichlet smoothing @@CITATION, see Eq. 2.	Language  Models  with  Dirichlet  smoothing 		A-subj	keywords	0
Instead, a Ravenscar Profile has been used @@CITATION.	Ravenscar  Profile 		A-subj	method	0
The order of partition activation is static and fully defined at configuration time using configuration tables @@CITATION.	configuration  tables 		B-subj	method	0
We decided to use human data for modeling our HR [13][9]@@CITATION.	human  data 		A-subj	method	1
In our example of Figure 10 the Boolean expression consists only of the variable E. For edge recognition a function block called R_TRIG is provided in @@CITATION.	R_TRIG 	a  function  block 	A-subj	unknown	0
For every integer j, we call the horizontal line through (0, j) the stabbing line of index j. We apply the shifting technique @@CITATION.	 shifting  technique 		A-subj	method	0
I-DATA solves the sender side head-of-line-blocking issue by supporting message interleaving [11] and is also used in the WebRTC protocol for the same purpose @@CITATION.	I-DATA 		A-subj	method	0
If multiple address-protocol candidates are available, NEAT probes all available candidates by using the Happy-Eyeballs algorithm @@CITATION.	Happy-Eyeballs  algorithm 		A-subj	method	0
As shown in Figure 6, the NEAT Client and the NEAT Server are connected via the router which emulates various network conditions between the two peers by using FreeBSD’s builtin dummynet @@CITATION network emulation tool.	FreeBSD’s  builtin  dummynet 		A-subj	method	0
All the aforementioned linear and nonlinear DR algorithms can be unified to a graph embedding framework @@CITATION or a patch alignment framework [16].	graph  embedding  framework 		A-subj	abstract	0
All the aforementioned linear and nonlinear DR algorithms can be unified to a graph embedding framework [15] or a patch alignment framework @@CITATION.	patch  alignment  framework 		A-subj	abstract	0
In EMR-SLRA, we employ the ensemble manifold regularization @@CITATION to regularize our matrix approximation to fit the intrinsic and nonlinear structure of multiview data.	 ensemble  manifold  regularization 	to  regularize  our  matrix  approximation  to  fit  the  intrinsic  and  nonlinear  structure  of  multiview  data	A-subj	keywords	0
Instead, we use a Huffman code @@CITATION that maps each binary byte to either 5 or 6 ternary digits.	Huffman  code 		A-subj	method	0
These sequences were generated using Nupack @@CITATION, software for thermodynamic analysis of interacting nucleic acid strands, in order to avoid the formation of secondary structure that could interfere with the PCR reaction.	Nupack 	software  for  thermodynamic  analysis  of  interacting  nucleic  acid  strands	A-subj	acknowledgments	0
The algorithm is an Upper Confidence Bound (UCB) procedure (@@CITATION) based on a finite sample version of the LIL.	Upper  Confidence  Bound  (UCB) procedure 		A-subj	introduction	0
Both PRISM and exponential-gap elimination employ median elimination (@@CITATION) as a subroutine.	median  elimination 		A-subj	introduction	0
.@@CITATION has been used to create the surfaces, the distance between the corresponding points on the two surfaces can be used.	@@CITATION 	to  create  the  surfaces	A-subj	keywords	0
Sinha and Pollefeys @@CITATION used silhouettes to calibrate a network of cameras, assuming a single moving silhouette in a video.	silhouettes 	to  calibrate  a  network  of  cameras	B-subj	keywords	0
As a real dataset we used PETS2009 [13], using @@CITATION for background subtraction.	@@CITATION 	for  background  subtraction	A-subj	method	0
The accuracy was measured using Symmetric Epipolar Distance @@CITATION.	Symmetric  Epipolar  Distance 		A-subj	conclusions	0
We created two synthetic datasets: cubes and thin cubes, using the Model Renderer that was developed by Assif and Hassner and was used in @@CITATION.	Model  Renderer 		B-subj	method	0
As a real dataset we used PETS2009 @@CITATION, using [10] for background subtraction.	PETS2009 		A-subj	method	1
The proposed technique first locates the head-shoulder region and then locally processes block in the head region and encode active blocks containing edges with the Block Truncation Coding (BTC) @@CITATION technique.	Block  Truncation  Coding  (BTC) 		A-subj	keywords	0
Computations in quadratic extensions as above were used in the algorithm of @@CITATION that computes the cardinality of the Jacobian of a curve of genus 2, following Schoof’s elliptic curve point counting algorithm [45].	Computations  in  quadratic  extensions 	that  computes  the  cardinality  of  the  Jacobian  of  a  curve  of  genus  2	B-subj	method	0
As a reference we also tested the external memory tool eGSA @@CITATION that computes the Suffix and LCP arrays for a collection of sequences.	eGSA 	external  memory  tool 	A-subj	method	0
Instead of using the weighted average, Coorg and Teller @@CITATION use a color computation scheme based on weighted median to cope with color outliers in the observations.	color  computation  scheme 	based  on  weighted  median  to  cope  with  color  outliers  in  the  observations	B-subj	related work	0
In practice, we mostly use Least Squares Conformal Maps by Levy et al. @@CITATION, or a simple arrangement of the mesh triangles on the texture within a rectangular grid.	Least  Squares  Conformal  Maps 		A-subj	method	0
We then introduce our 3D reconstruction system based on DVO-SLAM by Kerl et al. [9] and the data fusion into a TSDF volume as used by Newcombe et al. @@CITATION.	TSDF  volume 		B-subj	method	0
In Appendix A.10 we then follow the approach of @@CITATION to prove the following.	approach 	to  prove  the  following	A-subj	unknown	0
One possible solution is to use the Gaussian Process Upper-Confidence Bound (GP-UCB) (@@CITATION) with extensions to time-varying functions (Bogunovic, Scarlett, and Cevher 2016).	Gaussian  Process  Upper-Confidence  Bound  (GP-UCB) 		A-subj	abstract	0
A constraint language, such as OCL, can be used to express these dependencies @@CITATION.	constraint  language	used  to  express  these  dependencies 	A-subj	method	0
For that we use Eclipse Modeling Framework (EMF) version 2.2.0 @@CITATION and SmartQVT version 0.1.3 [14].	Eclipse  Modeling  Framework  (EMF) 		A-subj	method	0
For that we use Eclipse Modeling Framework (EMF) version 2.2.0 [13] and SmartQVT version 0.1.3 @@CITATION.	SmartQVT 		A-subj	method	0
As in Smith et al. (2013), we applied Latent Dirichlet Allocation (@@CITATION) to explore the topics of the crawled dataset.	Latent  Dirichlet  Allocation 	to  explore  the  topics  of  the  crawled  dataset	A-subj	method	0
We then used the language dependent sentence splitters included in the Morphadorner NLP suite (@@CITATION) to split paragraphs in the XML files into sentences.	Morphadorner  NLP  suite 	to  split  paragraphs  in  the  XML  files  into  sentences	A-subj	method	0
In Table 1 we select 10 of the 20 topics generated from the 61.5K documents of the English corpus using the Mallet toolkit (@@CITATION).	Mallet  toolkit 		A-subj	method	0
To simulate the Gibbs process, we use the iterative algorithm of depletion–replacement @@CITATION.	algorithm  of  depletion–replacement 		A-subj	method	0
We resolve the redundant DOF using null-space optimization @@CITATION.	null-space  optimization 		A-subj	method	0
Here, we follow the notion of the Emotion Disc developed by Ruttkay et al. @@CITATION.	Emotion  Disc 		A-subj	method	0
We use the rounding algorithm of @@CITATION, designed for the case in which d is a uniform metric.	 rounding  algorithm 		A-subj	conclusions	0
The higher-order naturality property arising from this observation was used in @@CITATION to transform an O(n logn)-time algorithm for computing bit-reversal permutations to O(n)-time.	higher-order  naturality  property 	to  transform  an  O(n  logn)-time  algorithm  for  computing  bit-reversal  permutations  to  O(n)-time	B-subj	acknowledgments	0
We chose the Felzenswalb and Huttenlocher graph-based segmentation @@CITATION, which produces good results to capture areas of similar color and texture.	 graph-based  segmentation 		A-subj	introduction	0
The SIFT algorithm @@CITATION is a relevant choice to meet these requirements.	SIFT  algorithm 		A-subj	introduction	0
A simple and efficient solution is the Histogram Intersection similarity measure @@CITATION.	Histogram  Intersection  similarity  measure 		A-subj	method	0
We can also use Dynamic Time Warping (DTW) [16] or Chamfer Distance @@CITATION.	Chamfer  Distance 		A-subj	introduction	0
The histogram as shown in Figure 2 @@CITATION is an example of global signature and techniques used in this paper are also global.	global  signature 		A-subj	keywords	0
We can also use Dynamic Time Warping (DTW) @@CITATION or Chamfer Distance [2].	Dynamic  Time  Warping  (DTW) 		A-subj	introduction	0
Signatures are then used to compare images @@CITATION.	Signatures 		A-subj	keywords	0
Using a subset of MARTE Profile, GASPARD2 follows the Model Driven Architecture (MDA) @@CITATION principles to describe systems at different level of abstractions.	Model  Driven  Architecture  (MDA) 		A-subj	method	0
Accordingly , we combined the clustering with the widely used Vector Space Model ( VSM ) @@CITATION .	Vector  Space  Model  (  VSM  ) 		A-subj	abstract	0
For the evaluation of the proposed clustering approach, we utilize the Vector Space Model (VSM) with the tf-idf weighting scheme @@CITATION, where tf is the term frequency and idf is the inverse document frequency.	 tf-idf  weighting  scheme 		A-subj	abstract	0
To identify artifacts that belong to the same feature we apply a spectral partitioning method @@CITATION, which groups the artifact graph of each abstraction level into clusters.	spectral  partitioning  method 	To  identify  artifacts  that  belong  to  the  same  feature 	A-subj	abstract	0
We included the GenBank files from the genome reannotation @@CITATION since these 6263 locus tags included operon groups, novel proteins and revised start coordinates for 1579 proteins.	genome  reannotation 		A-subj	unknown	1
EXPERIMENTAL EVALUATION To test and compare our quality estimation metric we employed OMNeT++ (Objective Modular Network Test-bed) simulator @@CITATION.	OMNeT++  (Objective  Modular  Network  Test-bed)  simulator 		A-subj	evaluation	0
For our experiments we used the INETMANET extension @@CITATION which is specifically dedicated to MANETs and offers a variety of mobility models specifically related to MANET mobility.	INETMANET  extension 		A-subj	evaluation	0
All the problem instances were solved using the Couenne MINLP solver (@@CITATION) with a time limit of 600 seconds.	Couenne  MINLP  solver 		A-subj	method	0
In order to make the problem tractable, we adopt the linear heat flow model proposed in (@@CITATION).	 linear  heat  flow  model 		A-subj	method	0
Works in @@CITATION utilize the MPSoC design methodology to implement SDR systems, treating the modulator as an individual system task.	MPSoC  design  methodology 	to  implement  SDR  systems	B-subj	introduction	0
We adopt the pairwise matching computation strategy used in @@CITATION, which formulates the matching as a partial curve matching problem.	pairwise  matching  computation  strategy 	which  formulates  the  matching  as  a  partial  curve  matching  problem	A-subj	method	0
Cho et al. @@CITATION evaluate inter-fragment consistency using the sum-of-squared color difference (SSD) alone the stitching boundary, and used a graphical model to solve the global composition.	sum-of-squared  color  difference  (SSD) 		B-subj	method	0
EXPERIMENTS We conducted experiments on two public datasets: MIT datasets @@CITATION and BGU datasets [16].	MIT  datasets 		A-subj	method	1
EXPERIMENTS We conducted experiments on two public datasets: MIT datasets [15] and BGU datasets @@CITATION.	BGU  datasets 		A-subj	method	1
Tsamoura et al. @@CITATION apply a color-based image retrieval strategy to identify potential adjacent fragments, and then use boundary pixel’s color to build the contour feature.	boundary  pixel’s  color 	to  build  the  contour  feature	B-subj	method	0
Procedure/participants Participants were recruited from Amazon’s Mechanical Turk (MTurk) platform (@@CITATION).	Amazon’s  Mechanical  Turk  (MTurk)  platform 		A-subj	introduction	0
2.3 Baseline: Trusted H/W in the Cloud A well-known technique to hide data access patterns is using Oblivious RAM (ORAM) @@CITATION.	Oblivious  RAM  (ORAM) 		A-subj	method	0
It uses a partitionbased ORAM @@CITATION where each partition is itself a hierarchical ORAM [8].	ORAM 		A-subj	method	0
This Lemma directly follows from Theorem 5.1 and 5.6 in @@CITATION.	Theorem 		A-subj	method	0
1.2 Results We implement PRO-ORAM prototype in C/C++ using Intel SGX Linux SDK v1.8 containing 4184 lines of code @@CITATION.	Intel  SGX  Linux  SDK  v1.8 		A-subj	introduction	0
As a result, we abandoned the Domino-based flow of [31] and adopted a more successful three-step flow, using ideas from Feng Shui 5.1 @@CITATION and the cell-swap method of FastPlace [24].	ideas 		A-subj	evaluation	0
Second, regarding the sharing structure principle, TDS employs two-dimensional space partitioning derived from DC @@CITATION.	 two-dimensional  space  partitioning 	 regarding  the  sharing  structure  principle	A-subj	keywords	0
That is, BUS exploits skyline monotonicity to bypass dominance tests for skylines on U , when computing a skyline on V using SFS @@CITATION.	SFS 		A-subj	method	0
QSkycube then computes a skyline on U using a baseline skyline algorithm @@CITATION.	skyline  algorithm 		A-subj	method	0
The database correlation method using GSM fingerprints (power scans over a set of carriers) was presented in @@CITATION.	 GSM  fingerprints 	power  scans  over  a  set  of  carriers	B-subj	abstract	0
In @@CITATION, accurate indoor localization was obtained using fingerprints including measurements of all possible GSM carriers.	fingerprints 		B-subj	abstract	0
Fix P ∗ = ∑K k=1 π ∗ kδµ∗k ∈ P and P ∈ P. From Birge-Lecam theory @@CITATION, there exists a sequence test functions Φn based on observations Y1, .	Birge-Lecam  theory 		A-subj	method	0
4.1 Latent Dirichlet allocation We first consider LDA [10], a conditionally conjugate probabilistic topic model @@CITATION for learning the latent On Statistical Optimality of Variational Bayes “topics” contained in a collection of documents.	conditionally  conjugate  probabilistic  topic  model 		A-subj	method	0
The first one is the Latent Dirichlet Allocation (LDA; @@CITATION), a generative probabilistic model for topic modeling.	 Latent  Dirichlet  Allocation 		A-subj	method	0
DoD C4ISR Architecture Framework @@CITATION was adopted as the NATO C3 System Architecture Framework [15] in a slightly modified form.	DoD  C4ISR  Architecture  Framework 		A-subj	method	0
An early version of the library was used to implement an efficient normaliser for the λ -calculus @@CITATION.	library 		A-subj	unknown	0
It was then made into a separate library, and used in the implementation of the first version of the PML language @@CITATION.	PML  language 		A-subj	unknown	0
The data were collected from (@@CITATION), a set of six relational databases which contains a very big amount of data from more than 4500 StarCraft replays.	data 	of  data  from  more  than  4500  StarCraft  replays	A-subj	abstract	1
3.1 Feature Selection The data we use is taken from (@@CITATION), who with their work offer six relational databases of one versus one matches, with all the possible combinations of races that the game offers.	data 		A-subj	method	1
The difficulty rankings of similar students is combined using social choice theory @@CITATION to produce the best difficulty ranking for the target student.	social  choice  theory 		A-subj	introduction	0
We did this for our data using Fayyad and Irani's Minimum Description Length method @@CITATION as implemented by Weka, an open source data mining and machine learning tool [24].	Minimum  Description  Length  method 		A-subj	method	0
The basic idea is to extract all object bounding boxes from an image, and compute an objectness score @@CITATION that can be used to rank and determine interesting objects, with the purpose of posterior classification.	objectness  score 		A-subj	related work	0
Batch Normalization @@CITATION layers are inserted after each Max-Pooling layer, and after the first FC layer, in order to prevent overfitting and accelerate training.	Batch  Normalization 		A-subj	method	0
Kang et al. @@CITATION use a data driver approach where regions are matched over a large annotated dataset and objectness is computed from segment properties.	data  driver  approach 		B-subj	related work	0
5 We use the standard theory of simplices, complexes, abstract complexes, and piecewise-linear (PL) mappings @@CITATION.	theory  of  simplices,  complexes,  abstract  complexes,  and  piecewise-linear  (PL)  mappings 		A-subj	method	0
To draw attention and entice people to interact, we integrated aspects of proxemic interaction @@CITATION into our visualization.	 proxemic  interaction 		A-subj	categories and subject descriptors	0
Proxemic Interaction The foci in the overview can be placed using either touch or proxemic interaction @@CITATION, supporting multiple people simultaneously.	proxemic  interaction 		A-subj	categories and subject descriptors	0
From these we make use of the VecSum algorithm @@CITATION , which is simply a chain of 2Sum that performs an EFT on n FP numbers .	VecSum  algorithm 		A-subj	method	0
The channel parameters corresponding to these conditional means and standard deviations were estimated from experimental data by using ExpectationMaximization @@CITATION.	ExpectationMaximization 		A-subj	method	0
The print-scan channel was first characterized by utilizing a set of training images, from which the the parameters for the statistical channel model of Section 3 were obtained via the EM algorithm @@CITATION.	EM  algorithm 		A-subj	evaluation	0
Channel Decoding Maximum likelihood decoding of convolutional codes can be achieved by the Viterbi algorithm @@CITATION which allows for both hard and soft decoding.	Viterbi  algorithm 		A-subj	method	0
Approximate maximum aposteriori probability (MAP) decoding for RA codes is accomplished using belief propagation @@CITATION for iterative decoding.	 belief  propagation 	for  iterative  decoding	A-subj	method	0
In the first part of section 4, we apply the results from our paper @@CITATION to express the leading order expected utility shortfall rate as the sum of the opportunity loss rate and the trading cost rate.	results 		A-subj	method	1
Given a tree decomposition we apply a dynamic programming algorithm @@CITATION corresponding to the specified semantics (e.g. -s admissible) and reasoning mode (e.g. --cred a).	dynamic  programming  algorithm 		A-subj	unknown	0
This is explored in CrowdQ @@CITATION, which uses a hybrid machine / crowd approach, producing programmatic suggestions to linked data queries, with the crowd confirming the correct answers.	CrowdQ 		B-subj	method	0
To measure the complex permittivity of the material, e*  e0ie00, a cavity perturbation method was used @@CITATION, in a rectangular cavity, operating in the TE1,0,11 mode, at about 5 GHz.	cavity  perturbation  method 	To  measure  the  complex  permittivity  of  the  material	A-subj	unknown	0
Finally, the ontology is parsed with the Jena API @@CITATION, to retrieve classes and properties, hierarchies and annotations.	Jena  API 		A-subj	conclusions	0
Conceptually, the descriptor works by decomposing the shape into a number of orthogonal 2-D basis functions (complex-valued), defined by the Angular Radial Transform (ART) @@CITATION.	Angular  Radial  Transform  (ART) 		A-subj	introduction	0
The hand position is then tracked in the binarized frame sequence using the change detection algorithm @@CITATION.	change  detection  algorithm 		A-subj	keywords	0
Segmentation of hand image In our scheme, we use the inter-frame change detection algorithm @@CITATION for segmenting out hand regions in the input video sequences.	 inter-frame  change  detection  algorithm 	for  segmenting  out  hand  regions  in  the  input  video  sequences	A-subj	introduction	0
We use the algorithm by Borradaile et al. @@CITATION to compute the face separating cycles.	algorithm 	to  compute  the  face  separating  cycles	A-subj	method	0
(s3) For each piece containing one fZ with Z ∈ WX , we find a minimum (fZ , fX)-separating cycle using the approaches in @@CITATION.	approaches 		A-subj	method	0
Given a good-separator A for Z and e0, our algorithm constructs a branch-decomposition of plane hypergraph G|A with width at most k+2h by Lemma 2 shown in @@CITATION.	Lemma 		A-subj	method	0
We apply the techniques in @@CITATION to decompose HX into pieces (subgraphs), each piece contains face fZ for exactly one Z ∈ WX .	techniques 	to  decompose  HX  into  pieces  (subgraphs)	A-subj	method	0
From Properties (I)-(VI), the upDDG(S) and lowDDG(S) can be computed as shown in the next lemma (Lemma 18 in @@CITATION).	Lemma 		A-subj	method	0
To develop the theory of reasoning patterns for Bayesian games, we rely on the graphical representation developed in @@CITATION, in which a game is represented as a set of blocks.	graphical  representation 	in  which  a  game  is  represented  as  a  set  of  blocks	A-subj	method	0
We use Sethian’s Fast Marching Method (Sethian, 1995, 1996; @@CITATION).	Fast  Marching  Method 		A-subj	method	0
This kind of approach was used to compute distance maps in ( @@CITATION ) .	approach 	used  to  compute  distance  maps 	B-subj	method	0
The curve evolution equation is then reformulated and implemented using the Osher-Sethian numerical algorithm (@@CITATION; Sethian, 1996b).	Osher-Sethian  numerical  algorithm 		A-subj	method	0
We use Sethian’s Fast Marching Method (@@CITATION, 1996; Adalsteinsson et al., 1996).	 Fast  Marching  Method 		A-subj	method	0
Results on data provided by Georg Fuellen We have also used QuickJoin on two datasets supplied by Georg Fuellen, Integrated Functional Genomics, University Hospital Muenster, who used neighbor-joining to produce large phylogenies as described in @@CITATION.	neighbor-joining 	to  produce  large  phylogenies 	B-subj	abstract	0
Results on Pfam data The data used for the first experiment were protein sequence alignments taken from the Pfam database @@CITATION, and translated into distance matrices using QuickTree.	Pfam  database 		A-subj	abstract	1
The SQL dialect produced is that of the SQLite engine, which is the standard used for modern HTML 5 WebSQL Database @@CITATION implementations found in browsers such as Google Chrome, Apple Safari, and Opera.	WebSQL  Database 		A-subj	method	0
The original ASM formulation uses the Mahalanobis distance to the mean training profile as a boundary similarity measure @@CITATION.	Mahalanobis  distance 	to  the  mean  training  profile 	B-subj	keywords	0
The shape parameters are more robustly estimated using dynamic programming regularization @@CITATION and a weighted fit.	dynamic  programming  regularization 		A-subj	keywords	0
We consider the throughput after the ARQ (Automatic Repeat Request) protocol in the receiver and use the specific curves versus SIR from @@CITATION without loss of generality.	pecific  curves  versus  SIR 		A-subj	unknown	0
If the target shape is restricted to human body, an efficient template mesh-fitting method is proposed in @@CITATION which utilizes 3D sparse marker to reconstruct high-resolution human bodies from uncompleted scanned data.	mesh-fitting  method 	which  utilizes  3D  sparse  marker  to  reconstruct  high-resolution  human  bodies 	A-subj	abstract	0
Second, our study used the dataset from the Berlin SPARQL Benchmark (BSBM) @@CITATION, which simulated an ecommerce use case involving data about products, vendors, consumers and reviews about the products.	Berlin  SPARQL  Benchmark  (BSBM) 	which  simulated  an  ecommerce  use  case 	A-subj	introduction	1
An optimized 16 Mel Filter Cepstrum Coefficients for bird identification (according to an extended benchmark @@CITATION) have been computed with their first and second temporal derivatives on the whole set.	benchmark 		A-subj	method	0
3.3 Network Design 3.3.1 WirelessHART Architecture We adopt a WirelessHART @@CITATION architecture for our WSAN design.	WirelessHART 		A-subj	method	0
3.2.2 Model Predictive Control with Buffers As a controller for our closed-loop WSAN system, we have adopted a Model Predictive Control scheme (MPC, also referred to as Receding Horizon Control) @@CITATION.	 Model  Predictive  Control  scheme 	also  referred  to  as  Receding  Horizon  Control	A-subj	method	0
For training the DCGAN model, we follow the training procedure in [32] and use Adam @@CITATION for optimization.	Adam 	for  optimization	A-subj	evaluation	0
We evaluate our method on three datasets: CelebA [23], SVHN [29] and Stanford Cars @@CITATION, with different forms of missing regions.	 Stanford  Cars 		A-subj	related work	1
