text	object	context	role	section
The algorithm used in NetFinder is based on our previous work on the virtual network assignment @@CITATION, which developed theoretical algorithms for virtual network assignment aiming at reducing the stress among substrate nodes and links @@CITATION.	virtual  network  assignment 	which  developed  theoretical  algorithms  for  virtual  network  assignment  aiming  at  reducing  the  stress  among  substrate  nodes  and  links 	A-subj	method
This paper extends a previous publication @@CITATION by providing a black-box reliability analysis and extending the adaptability analysis taking into account design structure.	publication 	by  providing  a  black-box  reliability  analysis  and  extending  the  adaptability  analysis  taking  into  account  design  structure	A-subj	keywords
We next generalize a technique from @@CITATION showing that adding a little variance to a point estimate does not hurt too much.	technique 	showing  that  adding  a  little  variance  to  a  point  estimate  does  not  hurt  too  much	A-subj	method
c) Compressed Sampling in networking: Our work is an application of the theory of sparse recovery in compressed sampling @@CITATION, which has several applications in networking.	theory  of  sparse  recovery  in  compressed  sampling 	which  has  several  applications  in  networking	A-subj	unknown
On the basis of Shen D’s work [23], previous reports @@CITATION further developed this approach by combining clustering and uncertainty-based SQC.	approach 		B-subj	introduction
We consider this as empirical validation for our previous work that hypothesized that a source code file represents a coherent conceptual grouping of related items @@CITATION.	work 		A-subj	method
It is an implementation of the method proposed by Milne et al. @@CITATION and was primarily designed to annotate the text with the Wikipedia topics.	method 	to  annotate  the  text  with  the  Wikipedia  topics	A-subj	unknown
1.1 Contributions This paper extends our previous short papers @@CITATION on the informal-to-formal translation.	papers 	on  the  informal-to-formal  translation	A-subj	method
Our previous work on this topic @@CITATION was based on modifying QEMU so that a model that would later be synthesized, could be used within QEMU.	QEMU 		B-subj	keywords
The algorithm is an extension of the well-known α algorithm, one of the very first algorithms for automated process discovery, originally presented in @@CITATION.	α  algorithm		A-subj	method
We then introduce our network, trust and key distribution models, the latter of which is based upon the previous work of Eschenauer and Gligor @@CITATION.	work 		A-subj	unknown
In this work, we build on our recent algorithmic investigation of PVD using acoustic and seismic signals @@CITATION.	PVD 		A-subj	method
It extends the traditional problem of Frequent Itemset Mining (FIM) @@CITATION.	Frequent  Itemset  Mining  (FIM) 		A-subj	abstract
This work extends our prior work on learning entitativity of robot groups @@CITATION.	learning  entitativity  of  robot  groups 		A-subj	introduction
Building upon earlier work @@CITATION we introduced a two-stage optimisation approach which seamlessly combines standard direct policy learning with our idea of fitting a model that is consistent with variable constraint data.	work 	two-stage  optimisation  approach 	A-subj	unknown
(We note the proof of @@CITATION extends to establish its security as a PRF if we are willing to assume the underlying compression function is a PRF.	proof 		B-subj	keywords
Based on previous experience @@CITATION we developed a novel path planning and obstacle avoidance algorithm adapted to the challenging exhibition environment [20].	experience 	path  planning  and  obstacle  avoidance  algorithm 	A-subj	method
In @@CITATION, Deng extended the above result to the Ishikawa iteration process.	Ishikawa  iteration  process		B-subj	method
Periodic DMPs The formulation of DMPs in this paper is based on @@CITATION.	@@CITATION		A-subj	keywords
Initial results of DMP adaptation methods, expanded on in this paper, were presented in @@CITATION.	DMP  adaptation  methods		A-subj	keywords
In @@CITATION, we extended this algorithm to deal with pebbles and two-way navigation in (classical) words.	@@CITATION		B-subj	method
The walk dynamics model is based on the results of Lee @@CITATION, who analysed the movement of someone walking, carrying a load, in a gait lab.	results 	movement  of  someone  walking,  carrying  a  load,  in  a  gait  lab	A-subj	method
Our implementation is based on the approach to dialogue developed in ( CIT ; Poesio and Traum , 1997 ; @@CITATION ) .	approach 		A-subj	unknown
4 Proposed Scheme In this section we describe our extension of @@CITATION to prove traceability and to achieve Backward Unlinkability.	@@CITATION 		A-subj	method
This paper stems from our experience with Varanus @@CITATION, an experiment in on-switch stateful property monitoring.	Varanus 	on-switch  stateful  property  monitoring	B-subj	introduction
Our technique is a direct generalization of @@CITATION.	@@CITATION		A-subj	introduction
This paper extends and improves the initial proposal of GeoVanet presented in @@CITATION, including an extensive experimental evaluation, a discussion of the use of maiboxes, and more detailed explanations.	GeoVanet 		A-subj	introduction
The lazy cache algorithm is a generalization of an algorithm presented previously by Brown @@CITATION.	algorithm 		A-subj	method
Based on previous work in the field of security patterns @@CITATION, we defined a pattern system that describes patterns for each security goal and their relationship.	security  patterns 		A-subj	method
It improves on a previous O( √ n) lower bound by Dumitrescu et al. @@CITATION.	lower  bound 		A-subj	keywords
Second, in Section 3.2, we explain our approach, building on @@CITATION, to integrating cost as a basis for determining choices made during process execution.	@@CITATION		A-subj	unknown
This modelling framework builds directly on the ideas presented in @@CITATION, in which a mathematical account of the classical view of distributed systems — as described, for example, in [15] — is given.	ideas 		A-subj	introduction
This work was inspired by our ongoing research involving the Novamente AI Engine @@CITATION, a complex integrative software system aimed at achieving advanced Artificial General Intelligence (AGI) [8].	Novamente  AI  Engine 	a  complex  integrative  software  system  aimed  at  achieving  advanced  Artificial  General  Intelligence 	A-subj	method
2This article extends a previous conference paper @@CITATION and provides a more thorough and detailed report.	paper 		A-subj	keywords
The present work substantially extends our preliminary work reported in @@CITATION.	work 		A-subj	method
The algorithm is based on the earlier implementations of molecular shape comparison described by Masek et al. @@CITATION, which quickly finds and quantifies the maximum overlap of the volume of two molecules [11,12].	molecular  shape  comparison 		A-subj	abstract
We improved our previous algorithm @@CITATION, called LPSI (Line and Point Sets Intersecting), for resolving the intersection problem.	algorithm 		A-subj	abstract
We build upon our previous work in acoustic @@CITATION and proprioceptive CIT object recognition .	work 		A-subj	method
Computing iceberg cube with complex measures, such as average(), can be easily included into our algorithms, based on the technique proposed in [@@CITATION].	technique 		A-subj	conclusions
Authors in @@CITATION, worked on utilizing FPGAs in implementing a fuzzy logic controller to track the maximum power point of the photovoltaic system.	 FPGAs 	to  track  the  maximum  power  point  of  the  photovoltaic  system	B-subj	introduction
The experiment is based on the design of @@CITATION.	design 		A-subj	conclusions
Data and annotation agreement This study followed the same figure-type taxonomy established in our earlier work @@CITATION, and reused the same 767 annotated figures @@CITATION.	figure-type  taxonomy 		A-subj	abstract
The proposed method is called flock of features and it is based on the work of Kolsch et al. @@CITATION.	work 	 called  flock  of  features 	A-subj	method
To this end , we build on a long line of prior work that treats constrained optimization as a two-player game [ e.g . @@CITATION ] .	work 		A-subj	introduction
In @@CITATION, Benedikt and Segoufin extend the well-known result that on strings, it is decidable whether a monadic second-order problem (that is, a regular language) is definable in first-order logic, to trees.	result 		B-subj	unknown
The high-level idea of the transformation is to use the hash-tree construction of Naor and Yung @@CITATION, extending it to also support special-mode generation.	hash-tree  construction 	transformation 	A-subj	method
Thus, considering the benefits of pictorial structures and the mixture of models, this paper employs DPM as a baseline and extends it for the KITTI urban scene understanding challenge @@CITATION.	DPM 	for  the  KITTI  urban  scene  understanding  challenge 	A-subj	abstract
This algorithm is an adaptation of an earlier demonstration algorithm for square matrices @@CITATION, which resembles the standard recursive block algorithm for MM.	demonstration  algorithm for  square  matrices 		A-subj	keywords
Our x86 instruction model is based on that of Myreen @@CITATION which has been extensively validated in the sequential case; we believe the model is accurate for the concurrent case considered here.	x86  instruction  model 		A-subj	conclusions
We augment simulation-based abstraction with the notion of reduction, which was first introduced by Lipton @@CITATION.	simulation-based  abstraction 		A-subj	unknown
In this paper we extend our previous research with CBR real-time adaptive applications @@CITATION, with the evaluation of VBR traffic, and specifically MPEG streams, in MobiWeb’s context.	research 		A-subj	method
The results, as can be seen in §6, favour the graph-based approach.2 The work here substantially extends the preliminary research in @@CITATION.	research 	graph-based  approach	A-subj	introduction
Our model is based on the work by Karp et al. @@CITATION who investigate several optimization problems for Internet congestion.	work 	who  investigate  several  optimization  problems  for  Internet  congestion	A-subj	categories and subject descriptors
Conclusions We have built on the interpretation of dropout as a regularizer in @@CITATION to prove several interesting properties of the dropout regularizer.	dropout  as  a  regularizer 		A-subj	conclusions
It is an extension of the language µCRL @@CITATION with multi-actions, built-in data types and local communication functions instead of a single global one.	language  µCRL 		A-subj	method
The goal of a more recent work @@CITATION is to enhance flash photography by introducing a flash imaging model and a gradient projection scheme, to reduce the visual effects of noise.	flash  photography 		B-subj	related work
This implementation, done using one of the most widely used FIPA-compliant Agent Platforms, JADE, follows previous works of our group on this topic @@CITATION.	works 	of  the  most  widely  used  FIPA-compliant  Agent  Platforms,  JADE	A-subj	method
This approach builds on our own work @@CITATION that shows the robustness of the weighted ranking approach.	weighted  ranking approach		A-subj	method
This study complements our prior work @@CITATION.	work 		A-subj	introduction
4.3 Patch Interface Shape Distribution (PISD) Inspired by previous work in physics/materials science on the characterization of nanoporous gold @@CITATION, we define a patch descriptor that characterizes local shape via its curvature distribution.	work in  physics/materials  science 	on  the  characterization  of  nanoporous  gold 	A-subj	method
Demir et al. @@CITATION proposed to use a locally most-representative shape together with a region-wise centrality quantification, inspired by previous work on contour variability plots [8].	work on  contour  variability  plots 		B-subj	related work
Building on @@CITATION, we suggest that faithfulness of appropriation and technology satisfaction are theoretically distinct constructs, and we hypothesize that both subjective and objective faithfulness directly influence satisfaction.	@@CITATION		A-subj	method
A first strategy is based on the sequential application of these four steps, as in @@CITATION.	 		A-subj	introduction
In @@CITATION it is proposed the DAM profile for dependability analysis, specialized from MARTE.	MARTE		B-subj	related work
We build on the general idea of M-Kernels @@CITATION, a previous approach for kernel density estimation over data streams.	M-Kernels 	 a  previous  approach  for  kernel  density  estimation  over  data  streams	A-subj	introduction
The work in [2] has been further developed in @@CITATION where its main improvements rely on the process of junction optimization by generating the hypothesis of two joint primitives.	work 	on  the  process  of  junction  optimization  by  generating  the  hypothesis  of  two  joint  primitives	B-subj	keywords
D. Sensor node design The sensor node we designed is based on the Lakon mote that we designed in earlier work @@CITATION.	Lakon  mote 	sensor  node 	A-subj	categories and subject descriptors
This framework is based on our previous work @@CITATION[8].	framework 		A-subj	abstract
The presented framework is based on our previous work @@CITATION[8] that provides a formal model for the composition of local participants implementations.	framework 	that  provides  a  formal  model  for  the  composition  of  local  participants  implementations	A-subj	unknown
This framework is based on our previous work [7]@@CITATION.	framework 		A-subj	abstract
The presented framework is based on our previous work [7]@@CITATION that provides a formal model for the composition of local participants implementations.	framework 	that  provides  a  formal  model  for  the  composition  of  local  participants  implementations	A-subj	unknown
These results build on the work of Dennis et al. @@CITATION and Wang et al. [8].	work 		A-subj	unknown
These results build on the work of Dennis et al. [7] and Wang et al. @@CITATION.	work 		A-subj	unknown
It is a revised version of the classic register allocation algorithm proposed in @@CITATION.	 register  allocation  algorithm 		A-subj	method
CONCLUSION In this paper, we proposed a modification of the LFR model designed by Lancichinetti et al. @@CITATION, aiming at improving the realism of the networks it generates.	LFR  model 		A-subj	unknown
In @@CITATION, which is a starting point for the current paper, we discussed a basic idea of generalizing these techniques to a WS1S decision procedure.	these  techniques 		B-subj	keywords
In one respect this paper is therefore a continuation of @@CITATION where the unidimensional case is treated .	 @@CITATION 		A-subj	keywords
This project was a longitudinal extension of an earlier study we performed in 1998 @@CITATION, which was an order of magnitude larger than any prior study of file-system metadata.	study 	of  file-system  metadata	A-subj	keywords
In another recent work @@CITATION, an R-Tree is extended to support transaction and valid time.	R-Tree 	 to  support  transaction  and  valid  time	B-subj	unknown
This approach is an extension to the unsupervised way of finding maximal frequent itemsets in @@CITATION, which considered all the input graphs in the maximal frequent itemset mining algorithm irrespective of the class.	unsupervised  way  of  finding maximal  frequent  itemsets 		A-subj	keywords
Tableur’s math recognition engine is based on prior work developed by colleagues at Brown University @@CITATION.	work 	Tableur’s  math  recognition  engine 	A-subj	categories and subject descriptors
In this paper we extend our previous work on data-driven haptic rendering @@CITATION in order to handle slipping phenomena that occur during a recording.	data-driven  haptic  rendering 		A-subj	introduction
This work is an extension to (@@CITATION) where the authors developed a Partial Differential Equation (PDE) model that could solve for the rate at which cash is generated through an infinitesimal time.	Partial  Differential  Equation  (PDE) model 		A-subj	abstract
This work is an extension of our previous work @@CITATION.	work 		A-subj	unknown
We build on prior work @@CITATION and propose to use domain-specific topic taxonomies that enable us to capture and conveniently visualize a person’s expertise at any given point in time.	work 	to  use domain-specific  topic  taxonomies 	A-subj	introduction
The model uses elements of an earlier olfaction model @@CITATION, and includes additional mechanisms for reward modulation in the AL. Stimulus-reward associations are stored in plastic ORN-PN connections governed by a three-factor learning rule.	olfaction  model 	includes  additional  mechanisms  for  reward  modulation  in  the  AL	A-subj	keywords
Based on our earlier work @@CITATION, we have come to the following conclusions on architectural decisions so far: • They are cross-cutting to a great part or the whole of the design.	work 		A-subj	introduction
We are experimentally evaluating different policy disclosure strategies and conflict resolution algorithms, building on our previous DARPA and NASA-funded work in this arena @@CITATION.	work 	policy  disclosure  strategies  and  conflict  resolution  algorithms	A-subj	method
In this paper, we extend another system, S∗3 , which was introduced in @@CITATION.	S∗3 		B-subj	introduction
It is based on KLEE @@CITATION, but with significant modifications and embellishments to the frontend and core engine as we will explain.	KLEE 		B-subj	method
This work is an extension of the article “Reasoning from Desires to Intentions: A Dialectical Framework” published in AAAI 2007 by the same authors @@CITATION.	article 		A-subj	abstract
The work in this paper extends that published in @@CITATION by presenting new results for the fast Rayleigh fading channel.	work 		A-subj	method
Drawing on the lessons of our field experiment (@@CITATION), we implemented two design features intended to strengthen the external validity of our results.	experiment 		A-subj	abstract
Based on these components and operators , we can formulate a flexible and customizable reachability algorithm , which is adapted from previous work @@CITATION .	work 		A-subj	abstract
There has been work @@CITATION on integrating CEGAR into JAVA PATHFINDER, using an approach different from interpolation.	CEGAR 		B-subj	abstract
The surface-fitting algorithm is an extension of previous work on pulmonary nodule segmentation by Reeves et al. @@CITATION that is designed to specifically address the task of separating nodules from the pleural surface.	pulmonary  nodule  segmentation 		A-subj	introduction
This extension can be viewed as a generalization of the concept of the extended library @@CITATION where only transitive edges of level 2 are considered.	extended  library 		A-subj	method
.@@CITATION describe an extension of AdaBoost to structured problems and an extension of CoBoosting is immediate, but we did not implement it due to time constraints.	AdaBoost 		B-subj	evaluation
These components were derived from earlier research @@CITATION the categories of which are listed in Table 3.	research 		A-subj	method
Following our work in @@CITATION, we train a single SOM on features from our collection of tracks, first normalising each feature dimension to have zero mean and unit variance.	work 	a  single  SOM 	A-subj	method
This approach is based on earlier work on the OpenEPC @@CITATION and Open5GCore [30] systems.	 OpenEPC 		A-subj	categories and subject descriptors
This approach is based on earlier work on the OpenEPC [22] and Open5GCore @@CITATION systems.	Open5GCore 		A-subj	categories and subject descriptors
The proposed framework is based on the spatial coherence recovery approach proposed in @@CITATION.	spatial  coherence  recovery  approach 		A-subj	method
The completeness result extends the previous work of Bezem and Coquand @@CITATION by showing that the geometric logic extended with a simple constraint theory (in particular native equational logic) is complete with respect to Tarskian truth.	work 		A-subj	method
This paper represents an extension beyond our own initial exploration of non uniform data dissemination @@CITATION that also presented some preliminary protocols.	non  uniform  data  dissemination 		A-subj	method
COATCheck extends existing tools and techniques @@CITATION to allow users to reason about system calls, interrupts, microcode, and so on.	techniques 		A-subj	keywords
We either derived these from previous work @@CITATION or custom wrote them to test new functionality or scenarios.	work 		A-subj	method
Later, in @@CITATION, authors extended it to MIMO systems, with a complex Trust Region algorithm, which guarantees convergence and preserves stability.	it 		B-subj	method
WS-SecurityPolicy is designed as an extension to WSPolicy @@CITATION, a specification used to define the characteristics, capabilities, and requirements for an XMLbased web service.	WSPolicy 		A-subj	introduction
The questionnaire was designed based on a pervious study @@CITATION.	study 		A-subj	evaluation
This model can be seen as an extension of a model introduced and evaluated practically in @@CITATION.	model 		A-subj	categories and subject descriptors
In this regard, this paper is an extension of our previous publication @@CITATION.	publication 		A-subj	introduction
This feature is a modification to the one used in @@CITATION.	feature 		A-subj	abstract
This work continues our previous works @@CITATION .	works 		A-subj	method
Appendix A shows how the semantic rules for StAC in @@CITATION may be extended to deal with parameterised throw.	semantic  rules  for  StAC 		A-subj	method
While there has been some prior work on evaluating the minimum precision required for error-free rendering @@CITATION, this work significantly extends and generalizes the concept in three ways.	minimum  precision  required  for  error-free  rendering 		A-subj	method
It should be noted that this paper is an extended study of our previous conference version @@CITATION, which is extended by 70% relative to the prior study.	study 		A-subj	method
Our choice of a scaling factor of cri was motivated by the systems based on Distributed Hash Table such as Chord @@CITATION in which the distance between a node and its fingers increases exponentially.	Chord 	Distributed  Hash  Table 	A-subj	method
We use a benchmark similar to the one we have developed in our previous work @@CITATION, enriched with update queries.	benchmark 		A-subj	method
This article reports an extension of previous presentations/publications in @@CITATION.	presentations/publications 		A-subj	introduction
Thus, we extended our previous works @@CITATION by capturing the structure of the LBFN over several snapshots.	works 		A-subj	method
In this paper, the model is an extension of our previously proposed model in @@CITATION.	model 		A-subj	introduction
A preliminary version of the material from this paper appeared in @@CITATION.	material 		A-subj	method
A preliminary work @@CITATION to calculate the Fisher information based on various weak measurements for linear Gaussian quantum system was reported recently.	weak  measurements  for  linear  Gaussian  quantum  system 		B-subj	unknown
In the analytic approach proposed in this paper, by extending the existing analytic approach proposed in @@CITATION, we model individual components of a network as independent SISO (Single-Input SingleOutput) continuous-time systems using fluid-flow approximation.	approach 		A-subj	introduction
3.1 Studied networks 3.1.1 PGrid Our work extends @@CITATION, which studies one-dimensional range search on PGrid.	 one-dimensional  range  search  on  PGrid		A-subj	method
We considered situations which are similar to previous studies on human-human collision avoidance and we based our analysis was based on the concept of mpd introduced in @@CITATION to enable comparisons.	concept  of mpd 		A-subj	discussions
Power @@CITATION offered an extended classification of DSS based on the dominant technology that determines the features of the decision-making: communications-driven DSS, data-driven DSS, document-driven DSS, knowledge-driven DSS, and model-driven DSS.	DSS 		B-subj	categories and subject descriptors
We have implemented several of these , including raycasting ( CIT ) , cell projection ( @@CITATION ) and splatting ( CIT ) .	cell  projection 		A-subj	discussions
Our previous publication @@CITATION presents an adapted cost model ContextCost that addresses those challenges.	cost  model  ContextCost 		B-subj	introduction
Our confirmation protocol is based on Chaum’s method @@CITATION.	method 		A-subj	method
3 Related Work Our work extends the variational dropout technique originally proposed in @@CITATION.	variational  dropout technique 		A-subj	related work
Following the original work on GANs (@@CITATION), our analysis focuses on the nonparametric case, where all models are assumed to have infinite capacities.	GANs 		A-subj	unknown
2The K/2 bound of @@CITATION extends to the fully connected vector case as well.	fully  connected  vector 		B-subj	keywords
However, for the datasets presented in this paper we find that the following approach based on spectral clustering algorithm of @@CITATION works well.	spectral  clustering  algorithm 		A-subj	method
A preliminary version of this work appeared in the first author’s Master’s thesis @@CITATION.	thesis 		A-subj	unknown
Our algorithm can be seen as an extension of the polytree belief updating algorithm (@@CITATION).	polytree  belief  updating  algorithm 		A-subj	unknown
We extend the approach in @@CITATION to generate instances and bags for representing videos, and make it applicable not only to actions of a single person but also interactions between a pair of people.	approach 		A-subj	method
The description of the changing form of epistasis given in @@CITATION is the starting point for this work.	changing  form  of  epistasis 		A-subj	abstract
Offermann et al. @@CITATION extend this and other previous work aiming at increasing the utility of method design artifacts through a better comparability of its elements.	this 		B-subj	introduction
Our approach follows the initial treatment by Christol @@CITATION, which is based on Furstenberg’s theorem [14, Thm.	treatment 		A-subj	method
It is based on the concept of the Shapley value @@CITATION which , under certain conditions , ensures that the cooperating mesh nodes will agree to participate in the offloading service .	Shapley  value 		A-subj	method
It is summarised in Figure 3, showing our extension to the ETSI’s NFV architecture @@CITATION, in which we replaced its centralised orchestrator and VNF manager, with BDI agents.	ETSI’s  NFV  architecture 		A-subj	method
The paper is an extension of @@CITATION where only the 2.4 GHz range was considered.	@@CITATION 		A-subj	method
The presented usage scenarios are based on examples from literature @@CITATION.	examples 		A-subj	method
The IT-artefact is based on two theories : ( a ) the Five Factor personality theory of @@CITATION and ( b ) the product personality – human personality congruency theory by CIT .	Five  Factor  personality  theory 		A-subj	categories and subject descriptors
In @@CITATION, a distributed relay selection scheme is proposed based on the instantaneous channel estimation and information theoretical analysis is given without considering rate adaptation.	instantaneous  channel  estimation 		B-subj	method
In order to measure the maturity of SPI implementation process we have adapted an assessment instrument (as shown in Appendix C) that has been developed, tried and tested at Motorola (@@CITATION).	assessment  instrument 		A-subj	unknown
This contribution follows from our work in @@CITATION and is described in Chapter 3.	work 		A-subj	unknown
This contribution is an extension from our work in @@CITATION is described in Chapter 4.	work 		A-subj	unknown
This contribution is described in Chapter 5 and follows from our first attempt at a similar problem in @@CITATION.	attempt 		A-subj	unknown
PLUS embodies the reference and measurement scans into one scan, which further develops from our previous work @@CITATION.	work 		A-subj	method
CMMI has been released by SEI that has extended CMM’s practices @@CITATION.	CMM’s  practices 		A-subj	method
The test algorithm generation is based on TAGS (test algorithm generation by simulation) in our previous work @@CITATION.	TAGS  (test  algorithm  generation  by  simulation) 		A-subj	unknown
In our implementation, the FedTime class provided by DMSO RTI1.3NG-V6 @@CITATION was extended and the new generated library libFedTime was linked to the DSManager.	DMSO  RTI1.3NG-V6 		A-subj	conclusions
F. German Research Center for Artificial Intelligence The system is based on the methods introduced in @@CITATION However, we have modified/optimized it in order to fit in the scenarios presented in this signature verification competition.	methods 		A-subj	method
We began the first part of this program in @@CITATION, but in order to complete it we need to understand the structure of reasonably well-connected cubic graphs that do not topologically contain the Petersen graph.	program 		A-subj	introduction
This work extends the manuscripts presented in @@CITATION .	manuscripts 		A-subj	method
As an extension of earlier work (@@CITATION), we will now present a formalization of the design problem and new and extended cohesion and coupling metrics.	work 		A-subj	method
Our argument follows that of Earley @@CITATION.	argument 		A-subj	method
.@@CITATION extends the technique to on-line analog testing by monitoring the quiescent voltage level of analog circuits.	 technique  to  on-line  analog  testing 		B-subj	introduction
This result, is based on the work of Dubuc @@CITATION who proved: Proposition 2.	work 		A-subj	unknown
Our proposition is based on a possibility/probability transformation we previously proposed @@CITATION[8], and on the notion of possibility distribution specificity ordering [9].	 possibility/probability  transformation 		A-subj	method
Our proposition is based on a possibility/probability transformation we previously proposed [7]@@CITATION, and on the notion of possibility distribution specificity ordering [9].	possibility/probability  transformation 		A-subj	method
Our proposition is based on a possibility/probability transformation we previously proposed [7][8], and on the notion of possibility distribution specificity ordering @@CITATION.	possibility/probability  transformation 		A-subj	method
Furthermore, based on our previous work @@CITATION, we can achieve a high QoS performance through an adequate priority-based routing protocol.	work 		A-subj	method
Our results are based on extending the general analysis framework outlined in @@CITATION using insights from the geometry of the problem .	analysis  framework 		A-subj	unknown
A preliminary version of the work presented in this article is published in @@CITATION.	work 		A-subj	unknown
In this paper we proposed a new class of kernels which extends our previous work presented in @@CITATION in the sense that these kernels are defined over a richer representation language.	work 	kernels 	A-subj	conclusions
AN INTEGRAL REPRESENTATION FOR FUNCTIONS We summarize the basic starting point of this paper, based on @@CITATION, to which the reader is referred for further details.	@@CITATION		A-subj	method
We present here a somewhat more elementary proof, relying on simpler concepts and on the results in @@CITATION.	results 		A-subj	method
In @@CITATION a frame interpolation method based on motion vector estimation for H.263 video streaming is proposed.	motion  vector  estimation 		B-subj	introduction
Finally, following our previous work (@@CITATION), we employed a further step to remove participants who failed to demonstrate sensitivity to rewards in the decision task.	work 		A-subj	method
Corpus Construction Basing our research on Daxenberger et al . ( @@CITATION ) , we distinguished between revisions and edits .	@@CITATION 		A-subj	unknown
Our lab prototyped this approach in prior work @@CITATION.	work 		A-subj	method
1 Portions of this submission are based on our earlier technical reports @@CITATION To be effective, a solution to this problem must satisfy several constraints: • It must be real.	technical  reports 		A-subj	introduction
The propagation algorithm is based on the approach suggested in @@CITATION.	approach 		A-subj	abstract
It integrates and extends our previous middleware-related projects, the Web Services Message Bus (wsBus) @@CITATION and AdaptiveBPEL [7].	 Web  Services  Message  Bus  (wsBus) 		A-subj	keywords
It integrates and extends our previous middleware-related projects, the Web Services Message Bus (wsBus) [5] and AdaptiveBPEL @@CITATION.	AdaptiveBPEL 		A-subj	keywords
Our features were derived from @@CITATION ( a work on classifying multiword expressions , a task similar to this one ) , as well as our own observations .	@@CITATION 		A-subj	introduction
The optimization problem (3) can be viewed as a generalization of the minimum delay routing problem @@CITATION.	minimum  delay  routing  problem 		A-subj	abstract
The model is constructed based on the characteristics of HBV transmission and the model of Medley et al. @@CITATION.	model 		A-subj	categories and subject descriptors
Since the original method in @@CITATION was not conceived to maximize image quality, we modify it by embedding the dithering signal in a perceptual-aware fashion.	method 		A-subj	method
This work is an outgrowth of the research described in @@CITATION.	research 		A-subj	related work
We extended this concept to the DF process in sensor networks in @@CITATION.	this  concept 		B-subj	method
2 A Modification of LU Factorizations Adapting the ideas suggested in @@CITATION, we construct a new method for solving linear systems with coefficient matrices of the form (2).	ideas 		A-subj	method
The envisioned framework in @@CITATION proposes a solution to extend the web service model by introducing and using semantic web services.	web  service  model 		B-subj	categories and subject descriptors
Our RDF scheme basically follows the RDF encoding approach presented in @@CITATION, which provides an XML-to-RDF mapping of the original DBLP data set.	 RDF  encoding  approach 		A-subj	method
Section 3 presents the DPOP algorithm from @@CITATION, upon which we will build our present work.	DPOP  algorithm 		A-subj	keywords
(47c) To treat the system of functional equations (47) we will apply an extension of Theorem 3, which follows from @@CITATION and deals with the situation appearing here.	Theorem  3		A-subj	method
Some preliminary results of our work were presented in @@CITATION.	results 		A-subj	method
9.2), this algorithm is a generalization of the famous min-norm point algorithm (@@CITATION), the latter being recovered when the Hessian is the identity.	min-norm  point  algorithm 		A-subj	unknown
DISTATIS is an adaptation of the STATIS methodology specifically used for the purposes of integrating distance matrices for different input attributes @@CITATION.	STATIS  methodology 	used  for  the  purposes  of  integrating  distance  matrices  for  different  input  attributes 	B-subj	unknown
Method Our method is an extension of our earlier work @@CITATION.	work 		A-subj	unknown
IP) based CP tracking controller introduced in @@CITATION, generalizing it to a model that contains vertical CoM motions and changes in angular momentum.	CP  tracking  controller 	that  contains  vertical  CoM  motions  and  changes  in  angular  momentum	A-subj	unknown
CORE @@CITATION extends existing regenerating codes to support the optimal recovery of multi-node failures, and presents a prototype implementation on HDFS.	regenerating  codes 	to  support  the  optimal  recovery  of  multi-node  failures	B-subj	unknown
